name,review_count,rating,latitude,longitude,categories,source
United States Post Office,4,1,40.073566,-75.195404,Post Offices;postoffices,yelp
US Post Office,4,1.5,40.01209371,-75.08606695,Post Offices;postoffices,yelp
Post Office,4,2,39.900898,-74.977074,Post Offices;postoffices,yelp
Philadelphia Traffic Court,4,2.5,39.960762,-75.152184,Public Safety;publicsafety,yelp
Declaration House,4,2.5,39.95079405,-75.15213872,Landmarks & Historical Buildings;landmarks,yelp
Commodore John Barry Bridge,4,2.5,39.8061,-75.3394,Mobility;mobility,yelp
African American Museum of Philadelphia,4,3,39.9535103,-75.1519394,Landmarks & Historical Buildings;landmarks|Museums;museums,yelp
SEPTA R-1 Eastwick Station,4,3,39.89559174,-75.23267365,Mobility;mobility,yelp
Philadelphia Dot,4,3.5,40.0632095,-75.1522293,Mobility;mobility,yelp
Lemon Hill Mansion,4,3.5,39.9693718,-75.1847534,Landmarks & Historical Buildings;landmarks,yelp
Springfield Township Library,4,3.5,39.9304077,-75.32965712,Libraries;libraries,yelp
Ludington Library,4,3.5,40.020283,-75.318024,Libraries;libraries,yelp
Old City District,4,3.5,39.95009176,-75.14469333,Public Services & Government;publicservicesgovt,yelp
Temple University Campus Recreation,4,3.5,39.979134,-75.159096,Sports & Recreation;sportsrecreation,yelp
Lombard Swim Club,4,3.5,39.94600207,-75.17625891,Swimming Pools;swimmingpools,yelp
The Porch At 30th Street Station,4,4,39.9548378,-75.1823959,Parks & Plazas;parksplazas,yelp
Collingswood Public Library,4,4,39.915754,-75.066957,Libraries;libraries,yelp
Nonprofit Technology Resources,4,4,39.963253,-75.163788,Learning & Making;learningmaking,yelp
NextFab,4,4,39.939622,-75.177313,Learning & Making;learningmaking,yelp
The Towpath,4,4,40.02794647,-75.22839355,Mobility;mobility,yelp
Julian Abele Park,4,4,39.9411583,-75.179451,Parks;parks,yelp
Clemente Park and Playground,4,4,39.965714,-75.168098,Parks;parks,yelp
Weccacoe Playground,4,4,39.93820824,-75.15011743,Playgrounds;playgrounds,yelp
Starr Garden Playground,4,4,39.9429245,-75.1524124,Playgrounds;playgrounds,yelp
Free Library of Philadelphia - Falls of Schuylkill Branch,4,4.5,40.013904,-75.192311,Libraries;libraries,yelp
Alliance Francaise De Philadelphie,4,4.5,39.949153,-75.165496,Community Service/Non-Profit;nonprofit,yelp
American Red Cross,4,4.5,39.960289,-75.1509705,Health & Wellness;healthwellness,yelp
Penn Park,4,4.5,39.950642,-75.18627,Parks;parks,yelp
