name,review_count,rating,latitude,longitude,categories,source
Elfreth's Alley,10,3.5,39.95275116,-75.1424942,Landmarks & Historical Buildings;landmarks,yelp
Dilworth Park,10,3.5,39.95262229,-75.16472086,Parks;parks,yelp
Pretzel Park,10,4,40.02585009,-75.22073731,Parks;parks,yelp
"West River - Martin Luther King, Jr Drive",10,4.5,39.98653309,-75.20507455,Mobility;mobility,yelp
Arrow Swim Club,11,2.5,39.96628225,-75.13850883,Swimming Pools;swimmingpools,yelp
Tacony Palmyra Bridge,11,3.5,39.9960785,-75.0319824,Mobility;mobility,yelp
Manayunk Dog Park of Pretzel Park,11,3.5,40.02585009,-75.22073731,Dog Parks;dogparks,yelp
The Oval,11,3.5,39.967895,-75.173095,Parks;parks,yelp
Louis I. Kahn Memorial Park,11,3.5,39.94491979,-75.15982032,Parks;parks,yelp
US Post Office - Bala Cynwyd,11,4,40.0046387,-75.2298203,Post Offices;postoffices,yelp
US Post Office - Kingsessing,12,1.5,39.943996,-75.226677,Post Offices;postoffices,yelp
US Post Office,12,1.5,39.97131,-75.167885,Post Offices;postoffices,yelp
USPS,12,2,39.9389343,-75.1918488,Post Offices;postoffices,yelp
US Post Office - John Wanamaker,12,2,39.95166,-75.160973,Post Offices;postoffices,yelp
Municipal Services Building,12,3.5,39.95383279,-75.16417623,Landmarks & Historical Buildings;landmarks,yelp
Carpenters' Hall,12,4,39.9480501,-75.14695778,Landmarks & Historical Buildings;landmarks,yelp
Cooper River Park,12,4,39.92618496,-75.06314868,Parks;parks,yelp
United States Post Office,13,1,40.00817165,-75.19261234,Post Offices;postoffices,yelp
United States Post Office,13,1.5,39.9742813,-75.1335297,Post Offices;postoffices,yelp
Free Library of Philadelphia - Walnut Street West,13,3.5,39.953812,-75.2024258,Libraries;libraries,yelp
Fireman's Hall Museum,13,4.5,39.9532394,-75.1427536,Landmarks & Historical Buildings;landmarks|Museums;museums,yelp
Schuylkill River Trail,13,5,40.02346141,-75.22111952,Landmarks & Historical Buildings;landmarks|Parks & Plazas;parksplazas,yelp
Schuylkill River Trail,13,5,40.02346141,-75.22111952,Mobility;mobility,yelp
United States Post Office,14,1,39.97161783,-75.14785767,Post Offices;postoffices,yelp
US Post Office,14,2,39.96728472,-75.16965866,Post Offices;postoffices,yelp
Columbus Square Dog Park,14,3,39.9331589,-75.1647797,Dog Parks;dogparks,yelp
Benjamin Franklin Bridge,14,3.5,39.95327318,-75.13599469,Mobility;mobility,yelp
Liberty Lands Park,14,4,39.9658585,-75.1418533,Parks;parks,yelp
The Navy Yard,14,4.5,39.8934135,-75.1761093,Landmarks & Historical Buildings;landmarks,yelp
Schuylkill Expressway,15,1.5,39.96201283,-75.18319073,Mobility;mobility,yelp
US Post Office,15,2,39.952518,-75.174805,Post Offices;postoffices,yelp
Free Library of Philadelphia - Philadelphia City Institute,15,3.5,39.949354,-75.173105,Libraries;libraries,yelp
Walt Whitman Bridge,15,4,39.9055667,-75.13025588,Mobility;mobility,yelp
Sister Cities Park,15,4.5,39.95794483,-75.16967475,Parks;parks,yelp
United States Post Office,16,1.5,40.035301,-75.217728,Post Offices;postoffices,yelp
Criminal Justice Center,16,3,39.953674,-75.161667,Public Safety;publicsafety,yelp
Drexel University Recreation Center,16,4,39.95649742,-75.1901722,Sports & Recreation;sportsrecreation,yelp
Schuylkill River Park,16,5,39.94668737,-75.18182583,Parks;parks,yelp
South Street Bridge,17,4,39.94679059,-75.18680528,Mobility;mobility,yelp
